Book-Title,Book-Author,Book-Length
1. Fourth Wing,By: Rebecca Yarros,Length: 20 hrs and 43 mins
2. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
3. Oath and Honor,By: Liz Cheney,Length: 12 hrs and 14 mins
4. The Woman in Me,By: Britney Spears,Length: 5 hrs and 31 mins
5. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
6. Aftermath,By: Craig Alanson,Length: 19 hrs and 10 mins
7. High Road,By: Jeff Carson,Length: 7 hrs and 21 mins
8. Tom Lake,By: Ann Patchett,Length: 11 hrs and 22 mins
9. None of This Is True,By: Lisa Jewell,Length: 10 hrs and 20 mins
"10. Friends, Lovers, and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
11. The Heaven & Earth Grocery Store,By: James McBride,Length: 12 hrs and 21 mins
12. The Ballad of Songbirds and Snakes,By: Suzanne Collins,Length: 16 hrs and 16 mins
13. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
14. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
15. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
16. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
17. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
18. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
19. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
20. Knockout,By: Sarah MacLean,Length: 12 hrs and 2 mins
21. Elon Musk,By: Walter Isaacson,Length: 20 hrs and 27 mins
22. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
23. Hidden Potential,By: Adam Grant,Length: 7 hrs and 21 mins
24. The Edge,By: David Baldacci,Length: 11 hrs and 45 mins
25. Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
26. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
27. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
28. The Frozen River,By: Ariel Lawhon,Length: 15 hrs and 5 mins
29. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
"30. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
31. My Name Is Barbra,By: Barbra Streisand,Length: 48 hrs and 17 mins
32. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
33. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
34. Resurrection Walk,By: Michael Connelly,Length: 10 hrs and 30 mins
35. Murtagh,By: Christopher Paolini,Length: 24 hrs and 32 mins
36. The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 15 hrs and 4 mins
37. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
